区分	優先	業者名	担当	電話🟡	メール	LINE🟡	エリア	得意・対応内容	買取も可	紹介/条件	費用感(外注)	実例案件	満足度🟡	見積優先	取引実績	直近接点	温度🟡	🚩ブレーキ(ここがダメなら見送り)	次アクション	出典
仕入	○	すみだ不動産	澤田/蓮見	🟡	info@sumidafudousan.com	🟡	関東	戸建・高利回り	—	通信頻繁					—	6/11			母数大。目線で絞る	Gmail
仕入	○	センチュリー21五大ホーム	加藤/安藤	🟡	katou@c21godai.co.jp	🟡	松戸	新築・査定	—	物件紹介					接点	6/9			松戸窓口	Gmail
仕入	○	KEIAI	飯田	🟡	h2-iida@ki-group.co.jp	🟡	千葉	売地・分譲	—	土地紹介					—	—			分譲事業部	Gmail
仕入	○	東海	織戸久美	🟡	orido@k-tohkai.co.jp	🟡	津田沼/前原	土地	—	物件紹介					内見実績	—			過去内見あり	Gmail
仕入	○	Mirai Arc	赤瀬	🟡	akase@miraiarc.jp	🟡	23区外/バス便	一棟収益・変形地	○	バリューアップ					—	6/8			出口知見も。卸先候補	Gmail
仕入	○	クリスティ＆富士企画	神谷	🟡	kamiki@christy.co.jp	🟡	関東	収益物件	—	メルマガ4万人					—	6/5			母数大。絞って活用	Gmail
出口	★	東栄住宅	—	🟡	🟡		関東	土地(建売用地)	—	パワビル		No.1			49%実績	—		土地の鉄板出口	在庫表	
出口	★	オープンハウス	—	🟡	🟡		都内	土地・古家	—	パワビル		No.44			42%実績	—		都内の出口	在庫表	
出口	★	ムゲンエステート	木村	🟡	r.kimura@mugen-estate.co.jp	🟡	一都三県	何でも(区分/一棟/店舗/バルク)	○	金額合えば即		—			—	6/11			★無在庫転売の卸先	Gmail
出口	★	訳あり買取.com	—	🟡	agent@wakearikaitori.com		全国	再建不可/相続放棄	○即	目線付で即		—			—	6/8			★訳ありの即出口	Gmail
出口	○	ホークワン	—	🟡	🟡		関東	建売用地	—	パワビル		No.3/12/24			34%実績	—		複数実績	在庫表	
出口	△	一建設/タクトホーム	—	🟡	🟡		関東	建売用地	—	パワビル		No.4/22/54/78			2-12%	—		粗利薄=最終手段	在庫表	
建築	○	サンエー	小泉	🟡	🟡		千葉	新築AP施工			6300万以内目線	飯山満631-1		①	お手本#1			費用6300万超なら採算崩れ→仕入見送り	お手本見積	お手本#1
建築	○	President's Agent	相原	🟡	aihara@ps-a.co.jp		岩手/関東	木造2×4低層賃貸			坪58万弱〜(外構別)	盛岡高松		②	Gmail			外構/擁壁が割高に乗る案件は注意	Gmail	
建築	○	匠工房	田口	🟡	iwate-takumikoubou@if-n.ne.jp		岩手	設計+施工			設計75万・2階8世帯現実的	盛岡高松		②	Gmail			3階詰込は岩手で難。2階推奨	Gmail	
建築	○	なのはなハウジング	榎橘	🟡	t-kakitsu@nanohana-housing.com		千葉	ローコストAP/長屋/木三共			見積10-14日	浜野/西馬橋		①	お手本#2			県条例100㎡頭打ち=路地状注意	お手本#2	
建築	○	エムトラスト	佐藤	🟡	rintaro.sato@mtrust-obr.com		千葉	木三共・長屋ハイブリッド			概算見積	浜野/西馬橋		③	Gmail			見送り実績あり=条件次第	Gmail	
設備	○	シナネン	藤原	🟡	masaya-fujiwara@sinanengroup.co.jp		関東/岩手	配管・エアコン			寒冷地/standard別単価	高松AP		②	Gmail			寒冷地仕様で単価上振れ	Gmail	
登記測量	○	アローフィールズ	並木義太郎	🟡	sagyouirai@arrow-f.com		関東	分筆/測量/地図訂正			分筆登記見積	飯山満631-1		①	お手本#1			地図訂正要だと納期延び決済リスク	お手本#1	
登記測量	○	豊岡事務所	佐々木/高橋	🟡	mz-tmsj-tj@bridge.ocn.ne.jp		岩手	移転登記・抵当権設定			御見積書	盛岡高松		②	Gmail			—	Gmail	
登記測量	○	藤原エリ(司法書士)	藤原	🟡	lavieenrose318@ybb.ne.jp		岩手	移転登記・抵当権			暫定見積	盛岡高松		②	Gmail			決済延期で再調整あり	Gmail	
登記測量	○	富士ハウジング	根本健児	🟡	nemoto@century21umi.com		関東	境界復元・現地調査			折半5.5万実績	辻堂東海岸		②	Gmail			境界未確定はVUで回収可	Gmail	
解体	🟡	(Teams明細で補完)						残置撤去・解体			🟡諸経費明細から	複数						残置モリモリ=解体費膨張。事前見積必須	Teams	
リフォーム	🟡	(Teams明細で補完)						原状回復・リノベ			🟡諸経費明細から	複数						雨漏り/シロアリは費用読めず=見送り基準	Teams	
融資	★	AGビジネスサポート	—	🟡	🟡		全国	ノンバンク・現金買取		手数料込10割も	高め金利	No.59			—			🔑回転の主力。10割で与信節約	在庫表	
融資	★	TAW母体ノンバンク	福井経由	🟡			—	与信枠拡張先		手数料込10割狙い	🟡	—						🔑同時保有件数の律速解除(07WBS)	CLAUDE	
融資	★	日本住宅無尽	—	🟡			関東	担保評価型・スピード		再建不可も可	—	No.16/46/63			—			再建不可の買い先	在庫表	
融資	○	千葉興業銀行	—	🟡			千葉	地銀・主力			—	No.16/38/50/58/70/73			複数			千葉の主力	在庫表	
融資	○	武蔵野銀行	—	🟡			埼玉	地銀・主力		フル可案件あり	—	No.24/27/34/54/75/78			複数			埼玉の主力	在庫表	
融資	○	東京東信用金庫	—	🟡			東京/千葉	信金			—	No.47/55			—			信金枠	在庫表	
融資	○	京葉銀行	—	🟡			千葉	地銀			—	No.43			—			—	在庫表	
融資	○	埼玉県信用金庫	—	🟡			埼玉	信金			—	No.11/42			—			—	在庫表	
融資	○	飯能信用金庫	—	🟡			埼玉西	信金・区分可			—	No.35			—			区分も対応	在庫表	
融資	○	栃木銀行	—	🟡			栃木/埼玉	地銀・大型可			—	No.84(2900万)			—			大型対応	在庫表	
融資	○	常陽銀行	—	🟡			茨城/埼玉	地銀・大型可			—	No.89(3430万)			—			大型対応	在庫表	
融資	○	岩手銀行	西原(花巻)	🟡			岩手	地銀・岩手主力		6600万実績	—	盛岡高松			—			岩手の主力	Gmail	
融資	○	大東京信用組合	金子	🟡	shinkumi_br006@daisin.co.jp		東京	信組			—	亀戸			—			—	Gmail	
融資	○	ファミリーライフサービス	佐藤	🟡	sh-sato@familyls.jp		関東	住宅ローン(出口買主向け)			—	—			—	6/1			出口の買主にローン付け=成約UP	Gmail
仕入	★	京葉地所	山崎	🟡	keiyoujisyo@kxa.biglobe.ne.jp	🟡	松戸	売主側仲介	—	売主代理		栄町088			実取引	6月			栄町の売主仲介=実績先。再取引◎	Gmail実取引
仕入	○	オールウェイズ壱番館	太田精一	🟡	toiawase@always-no1.jp		岩手/関東	売主・契約書面作成	—	売主/契約一式		盛岡高松			実取引				契約書/重説一式の実績。書面の質◎	Gmail実取引
仕入	○	中日不動産	松葉	🟡	akinori-matsuba@nakajitsu.com		柏	買取依頼(中古戸建)	△	買取依頼		柏明原			実取引	2月			柏の買取依頼元	Gmail実取引
仕入	○	サザイエ	佐藤	🟡	kosato@sazaie.jp		流山	建築条件付土地	—	建条土地紹介		流山加			実取引	1月			建築条件付の窓口	Gmail実取引
仕入	○	グッドリアルター	田村	🟡	r-tamura@goodrealtor.co.jp		世田谷	収益・高利回り	—	収益紹介		世田谷			実取引	1月			収益物件の紹介元	Gmail実取引
仕入	○	ベンチャーサポート	魚田	🟡	hiroaki.uota@1.venture-support.jp		船橋	売地	—	土地紹介		習志野台			実取引				船橋習志野台の売地	Gmail実取引
仕入	○	ネクストステージ	宮本	🟡	miyamoto@nxt-stage.jp		船橋	売地	—	土地紹介		習志野台3220			実取引				船橋習志野台の売地	Gmail実取引
仕入	○	ハウスメイト(売買)	諏訪	🟡	y_suwa@housemate.co.jp		関東	区分・決済案件	—	区分紹介		菜園708			実取引				区分の決済案件元	Gmail実取引
出口	○	積水ハウス	大越	🟡	tookoshi@swa.sekisuihouse.co.jp		千葉	土地買取(パワビル)	—	買取検討		市川宮久保打診			打診実績			エリア外は断られる	土地の出口候補	Gmail実取引
出口	○	オープンハウスD	笑喜	🟡	wataru.shoki@openhouse-group.com		都内/千葉	土地買取(パワビル)	—	買取検討		宮久保打診			打診実績				都内土地の出口	Gmail実取引
出口	○	ヤマダホームズ	川合	🟡	ma-kawai@yamadahomes.jp		関東	土地買取(パワビル)	—	買取検討		宮久保/久喜打診			打診実績				建売用地の出口	Gmail実取引
出口	○	アーネストワン	春川	🟡	s-harukawa@arnest1.co.jp		関東	建築条件付・土地買取	—	建条/買取		建条依頼			打診実績				パワビルの出口・建条	Gmail実取引
建築	○	ネクスト(工務店)	河井	🟡	kawai@next-at.co.jp		千葉	新築AP工務店			at-home経由	柏AP		②	Gmail				千葉の協業工務店候補	Gmail実取引
建築	○	金杉建設	本望	🟡	honmou@kanasugi.co.jp		埼玉	土地賃貸借・建設			土地一時賃貸借	久喜佐間		②	Gmail				久喜の建設・賃貸借	Gmail実取引
建築	○	ホンマ(本間)	—	🟡	info@honma-ltd.jp		関東	新築アパート建築			建築相談	—		③	Gmail				新築AP相談先	Gmail実取引
建築	○	TK-const	—	🟡	bosyu@tk-const.co.jp		関東	建築(区分改装)			コスモ平井	区分改装		③	Gmail				区分改装の協力	Gmail実取引
建築	○	TAC	立花清久	🟡	tac@tachome.com		岩手	温熱重視工務店			設計施工	盛岡		③	Gmail			温熱拘りで単価上振れ可	岩手の工務店候補	Gmail実取引
登記測量	○	井上司法書士事務所	井上	🟡	inoue@asoffice-inoue.com		関東	司法書士・登記			司法書士紹介	—		②	Gmail				登記の紹介ハブ	Gmail実取引
登記測量	○	柳場(司法書士)	柳場	🟡	t-yanaba@mbr.nifty.com		関東	移転登記・抵当権			井上先生紹介	—		②	Gmail				移転登記・抵当権設定	Gmail実取引
融資	○	ミナミ住宅情報	金子	🟡	kyo-kaneko@m-s-j.jp		関東	買取再販ローン・精算書			延長時計算書	辻堂東海岸			実取引	6/9			買取再販ローンの窓口	Gmail実取引
融資	○	トラステン	阿部	🟡	trusten.abe@gmail.com		岩手	融資仲介(高松窓口)		6600万実績	—	盛岡高松			実取引				岩手の融資窓口	Gmail実取引
融資	○	朝日信用金庫(湯島)	—	🟡	yushima@asahi-shinkin.co.jp		東京	信金			—	—			打診実績				東京の信金枠	Gmail実取引
協力	○	ハウスメイト(管理)	斎藤	🟡	mak_saitoh@housemate.co.jp		関東	賃貸管理・建築紹介			管理/紹介	盛岡AP			実取引				賃貸管理＋建築会社紹介ハブ	Gmail実取引
