物件タイプ,投げ先候補,紹介日,業者名,物件住所,元担当,連絡先,状況(最新)
不明,⑤投資家,5/2/2023,住研開発,富士見市貝塚2丁目1614－８２,森田,,本日、売主様と会話するとのこと（地域のコミュニティ・イベントスペースとして活用できないか検討中） 2023/5/10 内見実施。売主に250−270万で交渉に入ってくれるとのこと。並行で融資を信金に打診中。 2023/5/2 居酒屋、葬儀屋事務所だった、２F建て　250万円ならと
不明,保留,5/22/2023,秋山不動産,川口市前川2丁目,込山,048-432-8189,2　川口市前川２丁目850万円がある。レインズ載せているので見て950万円から100さげた。社長の目線だと500万円くらいじゃないかと　（43条は、通常問題ない）２F部分建ぺいオーバー、11坪、賃料５万、昭和42年築、300万目線です伝えるも話にならないとのことでクローズします。
不明,保留,5/22/2023,ジン・ホーム,川口市南鳩ケ谷7-19-9,込山,048-229-6883,る。あとで、資料送るから査定してと。値段は教えてくれず⇒弁護士案件、AI査定では600万前後、取り壊し費用100万前後見込みで300万までなら買取可能と伝えるもアットホームのAI査定で900万と出たのを弁護士経由で裁判所へ伝えているので200万～300万だと許可下りないとのこと。
不明,保留,4/24/2023,日東商事,川越市寺尾２７３−１５,森田,080-8122-6668,とそこまで変わらない買付額） 2023/05/22　本日買付の締切。明日、状況を確認する予定 2023/4/24　反響にてメールにて案件紹介あり。内観は鍵が売主（＠兵庫）保有しているため外観のみ確認。5月下旬までに買付書を欲しいとのこと。内見後に査定額の調整はあり（買付提出済み）
不明,①自分で再アプローチ,6/20/2023,(株)アジア住宅販売,川越市笠幡,森田,049-238-9001,"川越市笠幡の解体費売り主負担(250万円),700万円（1180万円 －250万円－仲手他） →出したばかりなので値下げは難しい。見送り"
不明,保留,6/20/2023,(株)彩の国不動産センター,川越市豊田町1-11-22,森田,049-223-5571,"川越市豊田町を査定してほしいとのこと。数社に投げていて、1件は、1,000万円弱だったと　 →我々も同じくらいの価格になるがエンドユーザを見つける必要があり回転率と他案件を鑑みて見送り"
不明,保留,2/16/2023,有限会社不動産大樹,志木市中宗岡三丁目1362-22,佐藤,048-444-1385,2/16物件情報メール受領。弊社目線で250万+業務委託料１０万で資料提出。先方も各所にお話しするとのこと。弁護士側で弊社より高めの金額を出していた業者がおり、そちらに決定とのこと。クローズ
不明,保留,6/19/2023,八木商事,所沢市北野南3丁目７－４,佐藤,04-2949-2055,"6/２０,急遽内見済、建物はきれい。市街化調整区域。売り主1000万目線。AI的には700～580万。弊社と目線合わずなのでご挨拶して撤退。"
不明,保留,4/17/2023,西部開発　小手指店,所沢市山口896－１０,森田,04-2928-3211,かず、今月中に連絡なければこれ以上追わずとのこと 2023/5/12　売主と連絡がつかなくなったとの事・・・来週あたりに再度状況確認 2023/4/25　内見済み。売主と交渉中 2023/4/17　外観のみ確認ずみ。購入したい旨を伝え、鍵をもらい中を拝見させてもらう（日程調整中）
不明,①自分で再アプローチ,5/19/2023,大和商事(株),杉戸町清地6-18-5,込山,090-4664-2221,　売主希望600万、仲介は落としどころは400万前後だと思っているそうですが売主の思い入れもある家なので値下げする意思は今のところなし。とりあえず住宅展示場に案件を持って行って売れなかったら徐々に下げていこうかなって感じだそうです。家賃5万で貸していたそうです。（本来は5.5万）
不明,①自分で再アプローチ,2/9/2023,スミダ工業,東京都大田区山王3-1363-1,江藤,048-882-0166,2/13に査定書を持ってスミダ工業へ訪問。400万円+50万円の業務委託費で買付提出。業者間相見積もりをしているよう。2/24に進捗確認も不在。2/27週に再度連絡が来る予定。3/10に買い負け連絡を受領。理由は大田区に近い業者を売り主が選んだからとのこと。よって本件クローズ。
不明,保留,5/24/2023,エスエイアシスト（ピタットハウス浦和西口店）,東京都武蔵村山中藤4丁目,江藤,080‐4812‐4158,6/１　価格合わずクローズ
不明,保留,5/12/2023,彩京不動産,東松山市,森田,049-246-6969,2023/5/15　目線合わず見送り（適正価格のため買取に旨みなし） 2023/5/8 東松山市の物件、今いろいろと見積り取っているところだけど、測量とか、600万円とこかな？内見は立合いで。仲はきれいだとの
不明,保留,2/9/2023,シェアパーク,桶川市大字倉田2283-34,江藤,048-823-7771,まとまらずクローズ。 相続された3兄弟がキーマンらしい。3人で割れるように90万円で買付提出（2/10）。2/24に進捗確認、家族間協議中。長女が安すぎると言っているらしい。3月再確認を失念。4月上旬再確認予定。
不明,保留,5/17/2022,高柳地所,熊谷市弥藤吾,大賀,,2棟一括での売却希望に対して片方のみ買付提出。現時点で2棟買付の業者を探しているので、弊社の優先順位低下。
不明,保留,6/20/2022,トータルサービス,熊谷市箱田,大賀,,再建不につき50万円での買付目線伝え、内見前の時点で売主が同意せず鍵を貸してもらえずクローズ。
不明,保留,4/17/2023,狭山不動産,狭山市柏原,森田,,2023/7/18　連絡ないためクローズ 2023/4/17 接道部一筆で、２ｍになるか、切るか、今野様の方で、現在調査中
不明,保留,3/20/2023,宮下工業,蓮田市根金1748-16,込山,080-2061-3508,内見実施（外観のみ）菖蒲900万、蓮田600万ともにバイセル価格明示して金額合わないのでクローズ
不明,保留,4/18/2023,春田産業,飯能市唐竹　滝ノ上　311-8,佐藤,090-7180-3755,2023/4/19　内見実施　お客様目線400万、ほぼ譲れないと西元社長。山間の住宅地、残置物はほぼ無し。買取目線では100万以下、、、。あまりに目線離れているので、今回は査定書出さずに、丁重にお断りさせていただき、再度御挨拶に行く。
不明,保留,6/23/2023,アジア不動産,鶴ヶ島市太田ヶ谷９５０－３,佐藤,049-232-7556,ラスハウス再建不　1F　居酒屋　2F 居住　残置混み　机上査定で１００万以下と回答、近日内見予定。7/14、内見実施 キッチン内部のシンク２台、大型ガスコンロ、麺茹で機、コールドテーブル、大型冷蔵庫の撤去費用を見積依頼中。これの結果で回答するようにアジア不動産様に伝えております。
区分,①自分で再アプローチ / ②ツクビト再販,6/24/2023,タスカルハーツ,上尾市富士見テラスハウス,江藤,,/24に川野さんとご挨拶。現地内見し、40-50万円で買付。どうやら60万円の残置物処理費がかかっているため売主目線は60万円とのこと。4社が競合との情報を得たため、買付金額を変更。80万円で、業務委託手数料込みで買付口答連絡（7/3）。7/4に二度目の内見予定。売主の回答待ち。
区分,②ツクビト再販,5/20/2023,パークホーム,埼玉県さいたま市桜区,江藤,048-263-3397,"023/5/20 (株)パークホーム 048-263-3397 若い男性、北浦和の区分、一般媒介で、1300万円で出しているが、残債があり、1,200万円かな？所有者様は新しい住まいに既に、引っ越されている。駅徒歩23分"
区分,②ツクビト再販 / ⑤投資家,6/23/2023,アースシグナル,川越市連雀町,佐藤,070-3190-0288,川越市連雀町　７階建て３F　区分５８２万目線、賃貸の弊社利回り目線だと１５０万なので合わず、、、空き室の目立つ物件でもあり、リスクは取れないのでこちらの希望物件をお伝えしてクローズしました。業務委託費受けたい感じの営業さんでした。
区分,①自分で再アプローチ / ②ツクビト再販,6/26/2023,（有）クイーンズ,越谷市赤山町3-138-1,込山,090-1467-1773,れからのお付き合いも含めてひとつ送ります。また、当物件は再建築不可及び、屋根が落ちているのでそこも踏まえて査定して頂ければ幸いです。売主様の目線としましては、400～500万円程です。 査定額3万円・・・土地値が更地で400万前後、リフォーム代を想定したら引き取り案件になります。
土地,③福井(医療用地) / ④自社/TAW(新築用地),10/13/2023,イオンハウジング与野店,さいたま市中央区本町西2-5-18,江藤,090-9137-2833,万円程度を想定している。測量込みの1000万円なら再検討可能。 与野本町駅徒歩13分の事故物件（7年前に自殺） 昭和42年築、土地50㎡、2階建て、駐車場なし、売り目線1000万ぐらい、残置物あり、雨漏りなし。 お風呂場で首を切って自殺とのことです。発見は翌日にご親族の方とのこと
土地,③福井(医療用地) / ④自社/TAW(新築用地),7/24/2023,イオンハウジング与野店,さいたま市中央区鈴谷5,江藤,,売主NG。クローズ。 7/24(月)、現地内見し査定。南与野駅徒歩7分。築51年サイケンフ+土地10坪、延べ床35㎡、駐車場無し。鶴見さんに150万円+紹介料25万円でお伝え。売主島根県？在住。仲介はOK。あとは売主次第。
土地,③福井(医療用地) / ④自社/TAW(新築用地),3/7/2023,松永都市開発株式会社,さいたま市岩槻区美幸町6294-5、6290-20(地番),佐藤,070-6525-4594,2023/3/８現地調査。上物なく、更地。再建不のため撤退。
土地,③福井(医療用地) / ④自社/TAW(新築用地),3/13/2023,志楽社,さいたま市岩槻市大字徳丸118-94,込山,070-4164-3369,2023/3/13現地調査、土地、査定送付、300万＋業手20万　金額合わずクローズ
土地,③福井(医療用地) / ④自社/TAW(新築用地),11/18/2023,港和住宅(株),さいたま市緑区三室1100-28,江藤,048-711-6498,とで・・参考としてURL貼ります。資料格納済＆進捗管理更新済です。査定宜しくお願い致します。 https://www.athome.co.jp/kodate/6980597571/?DOWN=8\&BKLISTID=011DPC\&SEARCHDIV=2\&sref=member
土地,③福井(医療用地) / ④自社/TAW(新築用地) / ⑤投資家,10/24/2023,（株）ネクストステージ,さいたま市西区佐知川653-6,江藤,090-7719-4538,50年戸建、土地100㎡、2階建て、４DK、間口2ｍ ギリ軽自動車駐車可能、雨漏り無し、１Fリビングの床に盛り上がりアリ、トイレは過去にリフォーム済み、風呂も未だ使えそうとのこと。 買取価格は390万ほどだった。新井さんがリフォーム見積もり取ったら200万ぐらいになったとのこと。
土地,④自社/TAW(新築用地),3/9/2023,株式会社CRIB,ふじみ野市北野１丁目３１３８−９,森田,,でに相続税を払う必要があるため急ぎで売却予定。1000万以下で買付はあるが1100万ほどで纏めたいと考えているため買いの仲介として検討 (3/13)2社に聞くも間口2mのため見送り（2.5mは必要）。また対象物件の土地の測量もしてないため、仲介するのは厳しい旨をメールにて送信予定
土地,③福井(医療用地) / ④自社/TAW(新築用地),6/14/2023,ふえき不動産,上尾市領家,江藤,0493-22-7169,円残置物あり。6/15、笛木社長へ状況ヒアリング。地主から500万円で預かっている物件でそれ以下は現時点では考えていない。鍵を預かっていないとのことなのでまだ本気で売る気が無いよう。鍵が来たら連絡してほしいとお伝え済み。そのタイミングで笛木社長にご挨拶しに行って、内見もする考え。
土地,④自社/TAW(新築用地),7/7/2023,マコト不動産,久喜市小右衛門,込山,090-7948-5273,南栗橋　倉庫兼居宅、土地300坪、建物50坪ぐらい、水道が隣地地中越境、倉庫の中に１LDKがある感じの居宅、地目は宅地。仕入れ値270万。三為OK。
土地,①自分で再アプローチ / ④自社/TAW(新築用地) / ⑤投資家 / ⑥込山(松戸地元),6/26/2023,(有)コーユ・ファイブ,千葉県松戸,込山,048-956-5933,"建築不可、建物状況悪く査定金額は100万以下となる⇒金額合わずクローズ, 6/26/2023,秋山不動産　　マイソク以外資料,秋山社長,048-432-8189,川口市前川2丁目,クローズ,江藤,北嶋,850万円に100万下げても、売れず、値段付けてくれ　　利回り悪いためクローズ"
土地,④自社/TAW(新築用地),4/10/2023,長太郎不動産　若葉駅前,坂戸市紺屋１０５−３,森田,049-280-0002,2023/4/10　 ・相談票を4/7に坂戸市役所に提出（調整区域だが建築可能か調査）。１週間程度で連絡ある。 ・目の前の鉄塔は特に問題ない（セットバック不要、電波障害なし） ・浄化槽地域 2023/4/18　金額の目線が合わず見送り
土地,③福井(医療用地) / ④自社/TAW(新築用地) / ⑤投資家,3/12/2023,㈲三成住販,埼玉県さいたま市見沼区大字南中丸721- 42,森田,,なってしまう）。コロナ前に700万の造成費が出ているため1000万近くに訂正して査定書を作成する予定。 2023/4/21　売主の家を建てたパナホームが2000万ほどでエンドむけに仲介に出すとのこと（専任）。そのため朝稲さんの方で仲介契約結べずに流れてしまったため見送りとなった。
土地,④自社/TAW(新築用地),5/23/2023,ＳＡＺＡＩＥ株式会社,埼玉県久喜市栗橋北1-９-15-7,込山,080-5953-9183,2023/05/23　親会社の損切り物件を買わされた。目線は最低でも500万くらい。買い取りの場合は300万MAX伝えAI査定書をお渡しして縁繋ぎクローズ、土地の買い取りなどもやっている富士住建のグループ会社なので今後も情報交換していく
土地,④自社/TAW(新築用地),5/29/2023,埼北,埼玉県加須市上樋遣川5020-1,込山,0480-62-5577,れから調べます。 2023/05/31　内見実施⇒ビルダー査定依頼⇒タマホーム6/2に担当から連絡来る、アキュラホームNG、飯田産業NG、ポラスNG、東武ニューハウスNG、オープンハウスNG、アルファンホーム検討できそう、SAZAIE⇒NG　売主から急がなくていいと言われクローズ
土地,④自社/TAW(新築用地) / ⑤投資家,4/24/2023,埼玉土地,埼玉県北葛飾郡杉戸町大字杉戸2647-10,込山,0480-32-0272 0480-32-2920,2023/04/24　土地？600万？東武動物公園駅徒歩20分　2023/05/08　目線機構と連絡するも留守電、明日以降に改めて電話予定　2023/05/15 担当と電話、目線的に賃貸転用でMAX300万と打診⇒売り主に値び引き意思なしのためクローズ
土地,④自社/TAW(新築用地) / ⑤投資家,4/24/2023,松永ハウジング,埼玉県南埼玉郡宮代町川端3-3-25,込山,070-2483-2203,2023/04/24　古屋付き土地37坪、850万⇒HPだと750万（姫宮駅徒歩6分）2023/05/08　500万以下NGとのこと、賃料相場6万前後、駅から近いが戸建て客付けしても利回り取れないのでクローズ
土地,①自分で再アプローチ / ③福井(医療用地) / ④自社/TAW(新築用地),6/9/2023,アイエー住宅販売,埼玉県川越市木野目,佐藤,070-8942-7516,宅　　AI査定　720万。6/13内見実施　店舗部分はリフォーム入れればしっかり使えそう。屋根は修理必須。2階雨染み、軒先壊れ。　売主目線500万。仲介意見として更地土地としては600万。査定としては200万で、担当宮原様納得も、売り主と目線乖離。とりあえず弱り待ちで担当と合意。
土地,③福井(医療用地) / ④自社/TAW(新築用地),11/20/2023,MRK Next合同会社,埼玉県草加市青柳-168-43,榎本,080-8742-3015,では売主との交渉が難しいとのことで、クローズさせていただきます。 売主が東京の人で千葉の業者に買って欲しいということで村木さんに話がきたとのこと。更地売りにしようと考えたが前面道路が砂利道だから余り感触よく無さそうだから古家付きで売却する方向で考えてる。目線は決まってないとのこと
土地,③福井(医療用地) / ④自社/TAW(新築用地) / ⑤投資家,9/5/2023,野村不動産ソリューションズ　川口,埼玉県蕨市塚越２－１９－１１,江藤,048-227-7080,セットバックがきつく、アパート建築にも向かない（利回り7%以下）ためクローズする。 野村の仲介　川口センター　さくらい様より（担当者　黒沢さま）蕨市塚越　駅徒歩10分　敷地123.1㎡、建物104.6㎡、昭和54年築（築44年）、残置物ありのようです。目線は3000万円程度。
土地,④自社/TAW(新築用地),6/20/2023,(株)アジア住宅販売,富士見市上沢1丁目,森田,049-238-9001,富士見市上沢1丁目　S55年　土地13坪　売り主目線500万円　　半値の250万円は無理だが、値引き交渉可能 →間口２ｍのため半値以下にならないと難しいため見送り
土地,④自社/TAW(新築用地),6/19/2023,加寿谷不動産,小平市美園町1-32-9,佐藤,090-1409-3261,2.7坪、第一種低層 １F店舗（売主が料理屋営んでる）、２F　6畳2間の部屋（現在は売主の休憩場所兼荷物置き場）、高齢なため料理屋を7月10日に閉め夫婦で移住、売主目線1980万、内見は店舗営業日（木金土以外なら可能）、北側は線路、特に雨漏りなど無し、これからメールで情報きます。
土地,③福井(医療用地) / ④自社/TAW(新築用地) / ⑤投資家,10/13/2023,（株）白井商事,川口市南鳩ヶ谷2-19-49,込山,080-4159-0666,未だ目線も資料もない。今日、売主と打合せするので終わり次第メールで物件情報頂く予定。 業者が三為でやりたいと言ってました。 再建不なので価格は買取相場よりも下がりますよね～と言う感じでした。下がりますけど仲介手数料＋業務委託料払うよと伝えると、お～そうですか。 と反応は良かった。
土地,④自社/TAW(新築用地) / ⑤投資家,4/10/2023,えのきプランニング,川島町大字上伊草1670-10,森田,048-625-5600,"い状況 ・60/200の用途地域 ・29,300/m2の固定資産税路線価　⇨ 119.79㎡（36.23坪）＝　350万 ・更地・土地（古屋付き）でレインズも600万程度　⇨ 16.5坪 ・他の取引事例での平均坪単価12.3万　⇨ 445万 ⇨500万なら売却OKとのこと⇨見送り"
土地,③福井(医療用地) / ④自社/TAW(新築用地) / ⑤投資家,6/16/2023,ハウジングランド,所沢市中新井2丁目,佐藤,04-2931-5955,2023/6/16 所沢市中新井店舗住宅？800万円？一つは店舗付き住居、もう一つはくっついている店舗付き住居（テラスハウス）6/27賃料相場があるも商店賃貸需要の弱めのエリアのため、更地解体を検討するも連棟式のため、難易度とコストが合わず。撤退です。
土地,③福井(医療用地) / ④自社/TAW(新築用地),4/8/2023,北斗ハウジング,所沢市和ケ原3丁目２７１－３０,佐藤,080-7221-4009,隣の坪単価2０万　接道ありで300万台、AI査定調べ 4/12 150万+業務委託費10万で査定出す→5％手数料と消費税で担当土屋様がご了承、売主相談へ。 4/17 売主様400万譲らず、、売り急いでいるわけでもないとのこと。北斗の土屋様、次の案内も下さるとのことで一度クローズ。
土地,①自分で再アプローチ / ③福井(医療用地) / ④自社/TAW(新築用地) / ⑤投資家,7/28/2023,大忠建設有限会社,所沢市東狭山ヶ丘1-37-13,森田,04-2923-5353,賃貸で貸してたが退去したので資産整理（賃料7万以上）、雨漏り、残置物無し、売主は都内在住、目線決まってません。 これから売主と打ち合わせして決めるとのこと。　価格出して欲しいとのこと。普通車停めれるぐらいの駐車スペースあり、3階建てまで建替えられるエリア。内見可能、業者に鍵あり。
土地,④自社/TAW(新築用地),5/27/2023,株式会社ＹＤＫ,朝霞市宮戸4丁目11-22,佐藤,080-1342-4416,。　売主様と三角様がお話をして再度情報をこちらにくだるとのこと。 5/29 　情報あり、査定感謝される。売主目線は2500万。すでに建売業者から現状で2800万で査定あり。。 バイセルの考え方や欲しい物件目線を伝える。次回以降何か振れるものあったらご相談しますねとのこと。クローズ
土地,①自分で再アプローチ / ④自社/TAW(新築用地),5/22/2023,(有)晃伸,杉戸町大字宮前167-233,込山,0480-33-5533,身者要件なし、築25年　土地30坪　建物延床面積80㎡以上、　売主目線400万、リフォーム（ベランダの雨漏り）や残置物の撤去あり。値引き交渉可⇒2023/05/23　阿部さん留守折り返し待ち⇒このエリア要補修物件だとMAX200万伝えるもお話にならずとのことでクローズなりました。
土地,④自社/TAW(新築用地),6/22/2023,加寿谷不動産,東久留米市南沢5丁目１０－１,佐藤,090-1409-3261,東久留米市南沢5丁目１０－１　地番は１７４８－８４ 土地１００坪　目線１億５００万。Ai査定で９０００万。規模的に大きすぎたため、今回はお礼を言って撤退しました。
土地,①自分で再アプローチ / ④自社/TAW(新築用地),5/11/2023,東急リバブル(株)川越センター,東松山市松葉町,森田,049-246-4551,と連絡取れず会えていないとのこと。こちら今月中に連絡なければ追わず。 2023/5/15　14日に売主と会話するとのこと。内容を共有してくれるとのことで電話待ち 2023/5/11 158坪の土地に平成9年の2階建て、昭和40年の平屋、こちらの古い方を分筆して、売りたいとのこと。
土地,④自社/TAW(新築用地) / ⑤投資家 / ⑥込山(松戸地元),5/8/2023,大和ハウスリアルエステート（株）埼玉東店,松戸市小山454-1,込山,080-4103-8568,/11　ビルダー3社へ査定依頼　仲介へ550万～600万で売主の温度感確認依頼⇒河川隣接地で水路暗渠、液状化懸念もあり土地は厳しい値段、賃貸転用メインで検討中　2023/05/15　仲介に連絡、売主への確認を督促、査定書送付 2023/05/18　売主と目線が合わず見送りクローズ
土地,①自分で再アプローチ / ④自社/TAW(新築用地),7/4/2023,ハウスドゥ上尾本町　島村さん,桶川市大字加納字宮之脇2196-47,江藤,080-4735-9722,ら売りたいと言っていたので念のため情報頂いた次第です。 別の買取業者は50万なら買うかなと言っていたそうです。バイセルで何かしら検討出来ますか？ 去年12月まで賃料5万でお婆さんが借りてたらしいです。雨漏りなどありそうですね。よくこんな建物に住んでたな！と売主も驚いてたそうです。
土地,①自分で再アプローチ / ④自社/TAW(新築用地) / ⑤投資家,11/24/2022,イオンハウジングイオンモール与野店(株)フォーメンバーズ,比企郡鳩山町鳩ヶ丘3-3-3,森田,090-9137-2833,に手放すべきという考え。まずは売主の希望価格で出して売れないという事実を突きつけてから価格を下げる提案をする方針とのこと（その際に声をかけてもらえるかも） (3/6)現在600万で鶴見さん専任で11月ごろから出しているも反響なし。数ヶ月後にまた連絡するか、動きあったら連絡もらう。
土地,④自社/TAW(新築用地) / ⑤投資家,9/4/2023,(有)三明工務店,狭山市笹井2-34-15,森田,049-243-2017,9/4 明日9/5に担当者に連絡する 昭和47年築、狭山市笹井の戸建、土地60㎡、建物2階建て、駐車場無し 過去に雨漏りあったが前の入居者が修繕済み、またその方がキッチンを少し改装（システムキッチンではない）、和室を板間へ。 売主目線400万とのこと。後ほどメール物件情報きます。
土地,④自社/TAW(新築用地),6/13/2023,（有）住商,瑞穂町箱根ヶ崎東松原11-1,佐藤,0428-24-6668,"ーの認識違いで鍵が無く入れず。再設定。外から見ると建物として少し不安。外部の鉄階段の腐食が心配。階段の安全性が担保できればレンスぺとして活用できるか。念のため解体費用の概算も見積もり中。解体費　共和株式会社：4,675,000円込　解体費、案の定かなりの高額になるため撤退します。"
土地,④自社/TAW(新築用地) / ⑤投資家,6/22/2023,なんでも屋ブレスト,矢板市山田1078,込山,080-2032-3060,2000坪ほどは購入対象外、建物と宅地部分のみ約250坪、査定後に正式とは言ってあるが50万で打診中、線引き地域、出身者要件など要確認、ブレストの大木さんが賃貸で借りたいとのこと法人で融資が下りれば購入希望もあり 2023/08/21　売主が他の買い取り業者にも査定依頼中でステイ
土地,④自社/TAW(新築用地),6/13/2023,西郊地所,秩父市近戸町1971-1,佐藤,042-590-1008,なります。 秩父市は外部からビルダーが施工管理の観点から参入しづらく、地場業者での対応になります。 ゆえに、相場がわかりづらい、高めになっているようです。 今後は秩父市は触れないようにしたいと思います。 ２桁万円案件ならば検討対象となりますので どうぞよろしくお願いいたします。 
土地,①自分で再アプローチ / ④自社/TAW(新築用地) / ⑤投資家,6/12/2023,ホームメイトFC清瀬店　(株)イオンズエステート,群馬郡吉岡町大久保,森田,042-497-1157,賃料35000円で貸してた、リフォームなどは施してない、リフォームすればもう少し賃上げできるかと。 売りに出してた頃は指値が多く面倒で売るの辞めたが今は空室だしリフォームなども考えるの煩わしいから価格が合えば売るかも。 業務委託料について伝言済み。これから物件情報メールできます。
土地,④自社/TAW(新築用地) / ⑤投資家,4/17/2023,(株)圏央不動産,茨城県荒川沖中1181-1,込山,048-977-3001,が必要な状況、ローン残高350万あり相殺できる金額であれば・・・リフォーム想定400万、賃料相場6万以下、更地の場合土地で500万、取り壊し費用200万として100万で仕入れるしかなくエンド向けに現状で350万で売ろうと思いますとのことでクローズ⇒AI見積査定書を送ってあります。
土地,①自分で再アプローチ / ④自社/TAW(新築用地) / ⑤投資家,6/6/2023,アールプラン（有）,青梅市裏宿町,佐藤,0428-32-0514,"プ,持田,0120-520-720,埼玉県加須市向古河2491-11,クローズ,込山,菊池,2023/06/09　売主目線250万　現地キーボックス2468　室内かなり逝っていてリフォーム200万↑はかかると思われ。50万で打診もその金額では売主に持っていけないとのことでクローズ"
戸建,②ツクビト再販,6/6/2023,(有)　大地,,大賀,,2023/6/6 熊谷市戸建て 2023/6/10　内見予定 物件が古すぎて30万円で買い付け出したところ、100万円以上でレインズに出すとのこと。価格合わずクローズ。
戸建,①自分で再アプローチ / ②ツクビト再販,6/12/2023,シェアパーク,さいたま市岩槻区小溝,込山,048-823-7771,2023/06/12　机上査定で評価約380万、売り出し価格490万、室内状態が悪いらしくリフォーム費用などを考えたら買い取り200万以下と伝、売主最低でも350万、元請けも目線は弊社と同じで売れなくて困っているのでしばらく塩漬けするとのこと・・・
戸建,②ツクビト再販,3/28/2023,日東商事,さいたま市岩槻市東岩槻4-12-7,込山,090-2653-3064,ナーと会えていない、担当が変わるので新担当を連れて挨拶がてら行く予定⇒週末に再架電予定 2023/04/17　佐藤さんと電話4/20に売り主のところへ行くが200万以下だとNGの可能性があるとのこと。 2023/4/24　佐藤さんより電話があり300万以下はNGとのことでクローズ
