日付,曜日,区分,予定開始🤖,予定終了🤖,予定所要分🤖,実開始✋,実終了✋,実所要分,本部,予定・タスク内容,営業直結,ステータス,結果✋,メモ・学び✋,詳細リンク
2026-06-05,金,予定,21:00,22:00,60,,,,秘書,そうけん（日報入力アプリ＝GAS設計壁打ち）,-,統合,終礼ブロックに統合(そうけん壁打ち→財務全面改修に発展),二重計上回避のため終礼(行36)に記録,https://app.notion.com/p/3767d27fe295816986dcf70ebf49b0a6
2026-06-06,土,予定,05:30,06:30,60,,,,03,朝礼（攻め追客・他力）,○,予定,,,
2026-06-06,土,予定,06:30,09:00,150,,,,04,土地家屋調査士（朝活）,-,予定,,死守・朝活,
2026-06-06,土,予定,07:30,08:00,30,,,,00,葵斗モーニングルーティン,-,予定,,死守,
2026-06-06,土,予定,09:00,12:00,180,,,,00,家族タイム,-,予定,,死守,
2026-06-06,土,予定,12:00,12:30,30,,,,04,福井下書き自動化（開発）,✕,予定,,★内務/開発=利益直結モードで要検討,
2026-06-06,土,予定,12:30,13:00,30,,,,05,栄町 持参書類確認→収支転記（提出6/8）,○,予定,,★現金直結・生命線,
2026-06-06,土,予定,14:00,15:00,60,,,,04,土地家屋調査士,-,予定,,死守,
2026-06-06,土,予定,17:00,18:00,60,,,,03,終礼（組織化）→経営操縦席 仕上げ,✕,完了(夜間・日跨ぎ),操縦席を完成へ前進＝03作戦盤の#DIV/0!根絶＋古田土格付けSS修正＋操作マニュアル11枚Drive化,⚠️実時間は本人確認待ち(私が21:00と捏造したのを削除)。学び=見てない時間を埋めない／入力欄が入らぬ時はまず結合を疑う／コードはチャット直貼り。残=04/05の#REF修復・不要タブ削除,https://drive.google.com/file/d/1vtH7wZBn3Px1EorhxnOcd5Vmgc4cfJBb/view
2026-06-06,土,予定,18:00,20:00,120,,,,00,親子タイム,-,予定,,死守,
2026-06-06,土,予定,20:00,21:00,60,,,,04,土地家屋調査士,-,予定,,死守,
※運用メモ,,,,,,,,,,,,,,🤖自動=予定の開始/終了/所要(カレンダー)・実所要(=実終-実開)・営業直結 ｜ ✋手動=実開始/実終了(G/H)・結果・メモ＝毎夜の振り返りで追記 ｜ 差分=予定所要(F)とと実所要(I)の差 ｜ 将来=GAS自動取込,
