ASIN,商品名,販売数,件数,月数,アカ,純売上,粗利,粗利率,営業利益,粗利単価,戦略区分
B0DBL59G33,TAMASHII NATIONS S.H.フィギュアーツ 怪獣8号 保科宗四郎 ,2,2,2,クーパン1,13983,3531,0.253,1741,1766,③スポット
B07P5474QG,山崎実業(Yamazaki) テレビ裏収納ラック ブラック 約W57×D11×H,1,1,1,クーパン2,5994,3518,0.587,2348,3518,③スポット
B0088GWV7I,クリンスイ 浄水器 蛇口直結型 CSPシリーズ 交換カートリッジ HGC9SZ,2,2,2,クーパン2,16484,3493,0.212,1753,1746,③スポット
B071D8T5RR,SEIKO SSG010 セイコー 電波ソーラー ワールドタイム メンズ ウォッ,2,2,2,クーパン1,136407,3442,0.025,1702,1721,◎維持
B0CCSVYWMH,SHURE シュア ダイナミックマイク SM7dB プリアンプ搭載 : カーディ,1,1,1,クーパン1,65906,3406,0.052,2036,3406,◎維持
B006LD6LWQ,Noritake ノリタケ ティー カップ & ソーサー 180cc ジュヌフレ,2,2,2,クーパン1,9683,3383,0.349,1543,1692,③スポット
B0B12CJC6G,Sondery 電子メトロノーム 人声 大音量 デジタル ギター ドラム用 3種,2,2,2,クーパン1,8908,3360,0.377,1620,1680,③スポット
B08NX4NFJ1,コイズミ ヘアドライヤー イオンバランス サロンセンス 300 温冷自動切替 ホ,2,2,1,クーパン1,16859,3320,0.197,1580,1660,◎維持
B09NN9BX7V,Noble Audio FALCON MAX NOB-FALCONMAX-B 【,3,3,3,クーパン2,51343,3307,0.064,597,1102,◎維持
B075FFC8CT,アイドルタイムプリパラ 夢オールスターライブ! - 3DS,2,2,2,クーパン1,7847,3297,0.42,1557,1648,③スポット
B0CRQX4M4J,タカラトミー プラレール シンカリオンCW E7かがやき ドリルフォーム 電車 ,2,2,1,クーパン1,12782,3222,0.252,1282,1611,③スポット
B07PRBRY58,メルちゃん お人形セット ハローキティネネちゃん,2,2,2,クーパン2,14144,3200,0.226,1210,1600,③スポット
B081YST74T,ホリカホリカ エッセンスBB Wデーションネオプラス,1,1,1,クーパン2,8875,3195,0.36,2325,3195,③スポット
B0CJ4NZT8G,HUAWEI WATCH GT 4 46mm ゴルフナビ搭載 スマートウォッチ ,2,2,1,クーパン1,39449,3165,0.08,1425,1582,◎維持
B004W4VYC8,SEIKO セイコー クオーツメトロノーム SQ200,2,2,2,クーパン1,14317,3158,0.221,1418,1579,③スポット
B008DMV6KU,スナッグゴルフ スナッガズー 【国内正規品】 SNAG GOLF トレーニング用,2,2,2,クーパン1,11511,3151,0.274,1411,1576,③スポット
B08DZZ5CW8,ROCKBOARD by Warwick エフェクター用LED RBO B LE,2,2,2,クーパン1,11186,3146,0.281,1406,1573,③スポット
B0CCRT3Y2N,シマノ(SHIMANO) トラウトロッド 23 トラウトワン AS B66L,1,1,1,クーパン1,17073,3143,0.184,2273,3143,◎維持
B08T4NN3GM,ZOOM ズーム ZDM-1 ダイナミックマイク ブラック 専用ウィンドスクリー,2,2,2,クーパン1,16336,3110,0.19,1270,1555,◎維持
B0CCR4QLWM,シマノ(SHIMANO) レバーブレーキ スピニングリール 23 BB-X デス,2,2,1,クーパン2,55007,3101,0.056,1361,1550,◎維持
B0BFGJPVHT,[ReliBeauty] 王子様 コスプレ 衣装 子供 ハロウィン 仮装 男の子,2,2,2,クーパン1,9968,3068,0.308,1328,1534,③スポット
B0847ZWD1L,プラレール かっこいいがいっぱい! 新幹線 N700S確認試験車 立体レイアウト,1,1,1,クーパン2,13852,3052,0.22,1932,3052,③スポット
B01MRMURNW,デロンギ コーヒーマシン用除石灰剤 100ml×2本 deLonghi Natu,2,2,2,クーパン1,6394,3038,0.475,1298,1519,③スポット
B004PPF4WU,Schlagwerk シュラグヴェルク カホニート SR-DC300,1,1,1,クーパン1,18345,3036,0.165,1966,3036,◎維持
B08XW9464W,BANDAI SPIRITS(バンダイ スピリッツ) RG 機動戦士ガンダムSE,2,2,2,クーパン2,11118,2998,0.27,1258,1499,③スポット
B0D5CHLXVM,トランスフォーマー/ONE OD-01 デラックスクラス オプティマスプライム,2,2,2,クーパン2,7945,2985,0.376,1145,1492,③スポット
B00W3FMKDA,コクヨ(KOKUYO) テープのり のり ドットライナー 詰め替え 強粘着 15,2,2,2,クーパン2,10037,2967,0.296,1227,1484,③スポット
B00H2DKXFA,日本製線 LAN用プラグツール NST88,3,3,2,クーパン1,59788,2949,0.049,339,983,②改善
B0B2WZ1JMQ,ソニー(SONY) ワイヤレスイヤホン WI-C100:Bluetooth対応/,2,2,2,クーパン1,10604,2942,0.277,1202,1471,③スポット
B0CKW36F99,【お手入れ簡単/進化した早炊き】 アイリスオーヤマ 炊飯器 3合 IH式 一人暮,1,1,1,クーパン1,15917,2918,0.183,1398,2918,◎維持
B09DBJ876V,[セイコー] SEIKO 5 SPORTS 自動巻き メカニカル 流通限定モデル,1,1,1,クーパン1,40918,2918,0.071,2048,2918,◎維持
B079Y6X3GN,WOMBAROO(ウォンバルー) ハイプロテインサプリメント( High Pro,1,1,1,クーパン2,11337,2917,0.257,1947,2917,③スポット
B000VE6DZ6,メデラ 乳頭保護器 ブレストシェル 2個入り 炎症や亀裂を発症した乳首を保護 衣,2,2,2,クーパン1,7968,2904,0.364,1164,1452,③スポット
B07MYSS6R1,【旧モデル】ブラウン オーラルB すみずみクリーンキッズ レッド D12513K,2,2,1,クーパン1,8040,2898,0.36,1158,1449,③スポット
B08XMBDCVM,MITORI 2段式 コロナ感染抑える高速弁当箱炊飯器 0.5-1.5合 ひとり,1,1,1,クーパン2,7557,2877,0.381,2007,2877,③スポット
B0739M5HLJ,オーキッドシード ちちのえ+∞ -Infinity- Pin-up Lady 1,1,1,1,クーパン1,18344,2864,0.156,1894,2864,◎維持
B0761X72PW,仮面ライダービルド 変身煙銃 DXトランスチームガン,1,1,1,クーパン1,9364,2864,0.306,1794,2864,③スポット
B075SSNK1L,ブラウン オーラルB D6015253P,2,2,2,クーパン1,19338,2858,0.148,1118,1429,◎維持
B0D2HBBMGZ,コロンバスサークル（MD用互換機）IPS 16ビットポケットMD HD V2 -,1,1,1,クーパン1,14853,2845,0.192,1875,2845,◎維持
B0CNK1V2K7,コンクリートマイク 高感度 壁集音器 集音マイク イヤホン付き 水漏れ検知 機械,2,2,2,クーパン2,12503,2844,0.227,1054,1422,③スポット
B09RZPQ532,OM SYSTEM/オリンパス レンズキャップ LC-62G ブラック,2,2,2,クーパン1,5739,2829,0.493,1089,1414,③スポット
B00G03QWSU,[カシオ]CASIO 腕時計 G-SHOCK SKY COCKPIT スカイコッ,1,1,1,クーパン2,32103,2818,0.088,1948,2818,◎維持
B092ZB4QZ9,RG 機動戦士ガンダム0083 STARDUST MEMORY RX-78GP0,2,2,1,クーパン1,11764,2795,0.238,1055,1398,③スポット
B0B4T2YF98,ブラウン(Braun) シェーバー用 充電スタンド シリーズ5/シリーズ9用 8,2,2,2,クーパン1,8530,2792,0.327,1052,1396,③スポット
B07CVJHK3M,Magewell Ultra Stream HDMI,1,1,1,クーパン2,50790,2790,0.055,1920,2790,◎維持
B07G8V644V,アイリスオーヤマ コードレススティッククリーナー 掃除機 自走式パワーヘッド 軽,1,1,1,クーパン1,14276,2776,0.194,1706,2776,◎維持
B0BPBY1Z96,スパイク(SPEICK) 【日本正規輸入品】メンズ・シェイビングクリーム 2本セ,2,2,2,クーパン1,6393,2728,0.427,988,1364,③スポット
B000PAAM9E,SONY 8型液晶ポータブルDVDプレーヤー DVP-FX850,1,1,1,クーパン2,19524,2724,0.14,1654,2724,◎維持
B0CK63KDSN,Laifen ライフェン ドライヤー SE 大風量 速乾 ヘアドライヤー 静音設,1,1,1,クーパン1,24571,2671,0.109,1801,2671,◎維持
B0BVFV8YG9,AbuGarcia (アブガルシア) Revo SP Beast 3000MSH,1,1,1,クーパン2,15866,2666,0.168,1796,2666,◎維持
B08WM9ZXGD,マジック:ザ・ギャザリング ストリクスヘイヴン:魔法学院 ドラフト・ブースター ,1,1,1,クーパン1,16129,2665,0.165,1595,2665,◎維持
B0DJNVW16W,[TRNR] トレイナー アブマット AB MAT 腹筋マット 体幹トレーニング,1,1,1,クーパン2,8358,2658,0.318,1788,2658,③スポット
B0DHCC4LCB,[セイコーウオッチ]SEIKO SELECTION(セイコーセレクション) 腕時,1,1,1,クーパン1,35654,2654,0.074,1784,2654,◎維持
B0CMQLLL4V,ノースウェイスポーツ Northway Sports パークゴルフ ＰＧ－３５０,1,1,1,クーパン2,14765,2627,0.178,1757,2627,◎維持
B0CWKVHZBD,仮面ライダーガッチャード DXクロスホッパー＆テンライナー,2,2,2,クーパン1,7686,2626,0.342,886,1313,③スポット
B00F2ZL93A,Medela(メデラ) カーム 授乳システム | メデラの母乳ボトル用授乳用乳首,2,2,1,クーパン1/クーパン2,7640,2601,0.34,861,1300,③スポット
B0BY98HF1P,マイクブームアーム マイクスタンド コンデンサー マイク用 角度調節可能 伸縮可,1,1,1,クーパン1,5598,2599,0.464,1729,2599,③スポット
B099Z7VBCJ,仮面ライダーリバイス 変身ベルト DXリバイスドライバー 仮面ライダー50周年ス,2,2,2,クーパン1,9567,2584,0.27,794,1292,③スポット
B09QVTV9MW,パイレックス(Pyrex) PYREX オーバル ロースター 皿 耐熱ガラス 電,1,1,1,クーパン1,4562,2571,0.564,1601,2571,③スポット
B0DCYHCHXV,ＭＧ ガ ン ダ ムストームブリンガー Ｐ.Ｆ. 1/100スケール 色分け済み,1,1,1,クーパン1,10548,2568,0.243,1448,2568,③スポット
B0DCC25N3N,4 in 1 キーボード マウス コンバーター セット、ゲーミング マウス、片手,2,2,2,クーパン1,13628,2553,0.187,813,1276,◎維持
B00HXXLP7O,[カシオ] CASIO メンズ 腕時計【G-SHOCK】スカイコックピット電波ソ,1,1,1,クーパン1,42351,2551,0.06,1681,2551,◎維持
B089QVBWNN,MTG ReFa SKIM SHAVER（リファスキムシェーバー）,2,2,1,クーパン1,12054,2550,0.212,810,1275,③スポット
B0D6Z2YCMP,Momcozy S12 Pro ハンズフリー電動搾乳機、着用式ワイヤレス搾乳機、,1,1,1,クーパン1,12644,2537,0.201,1667,2537,③スポット
B0899F5V65,シーガルフォー (Seagull IV) 浄水器 旧シーガルフォー X1-、X-,2,2,2,クーパン2,38168,2488,0.065,748,1244,◎維持
B0CPDD15MS,嘉之助 日置蒸溜蔵 HIOKI POT STILL KNOSUKE かのすけ 7,1,1,1,クーパン1,11982,2482,0.207,1412,2482,③スポット
B086SY5LVZ,アスタリフト Ｄ-ＵＶクリア アクアデイセラム (30g SPF50+・PA++,1,1,1,クーパン2,5682,2462,0.433,1592,2462,③スポット
B095XK6QPD,ジョイパレット(JOYPALETTE) アンパンマン すうじがピピピ! ガソリン,1,1,1,クーパン2,5808,2458,0.423,1438,2458,③スポット
B08BTHXJFN,HyperX Cloud Stinger Coreワイヤレスゲーミングヘッドセッ,2,2,2,クーパン1,17408,2440,0.14,700,1220,◎維持
B06Y2442CL,くらしリズム メディカル ミヤリサン製薬 ミヤフローラEX (230錠) 消化促,2,2,2,クーパン2,8069,2435,0.302,695,1218,③スポット
B09XDNS21R,(純正パーツ) シマノ 22 ステラ 4000XG スプール,1,1,1,クーパン2,19062,2432,0.128,1562,2432,◎維持
B0BM9P4Q1C,Kiboer 超音波トリートメント アイロン トリートメントアイロン ツヤ髪 髪,1,1,1,クーパン2,12717,2417,0.19,1547,2417,◎維持
B098FBVNXG,正官庄(ジョンガンジャン) 紅参精エブリタイムV(バリュー) 10ml×11包 ,1,1,1,クーパン1,4428,2403,0.543,1533,2403,③スポット
B01N4SD37J,エバーカラーワンデー ルクアージュ 30枚 エアリーブラウン -4.75,1,1,1,クーパン2,5583,2403,0.43,1533,2403,③スポット
B0BLTPHFVQ,YUNZII X75 ホットスワップメカニカルキーボード 透明なキーキャップ ガ,1,1,1,クーパン1,12200,2401,0.197,1431,2401,◎維持
B09KH4PK5S,TSAR BOMBA 腕時計 メンズ 5気圧防水ラグジュアリージャグタイプ電気メ,1,1,1,クーパン1,29096,2397,0.082,1527,2397,◎維持
B0DC61FZH8,NEEWER 垂直カメラマウント RS4 RS3用 縦型カメラマウント 1秒クイ,1,1,1,クーパン2,6282,2383,0.379,413,2383,③スポット
B086VKZZZY,[Beauty of Joseon] Glow Serum : Propolis,2,2,2,クーパン2,6575,2375,0.361,535,1188,③スポット
B0BGP4XVGY,オールインワンEAA BCAA クレアチン グルタミン クエン酸 HMB アンビ,1,1,1,クーパン2,7354,2374,0.323,1404,2374,③スポット
B08264KT34,BANDAI SDガンダム BB戦士 ガンダムベース限定 ユニコーンガンダム ペ,2,2,2,クーパン2,9784,2373,0.243,633,1186,③スポット
B0DNZ5X4WW,[セイコーウオッチ] 自動巻き腕時計 ルキア Essential Collect,1,1,1,クーパン1,46373,2373,0.051,1503,2373,◎維持
B0D2WYPHYX,マテル ジュラシックワールド(JURASSIC WORLD) ダメージ！ひかる ,2,2,1,クーパン2,13360,2360,0.177,520,1180,◎維持
B095RHFRP6,AbuGarcia (アブガルシア) ZENON 2500S ゼノン スピニング,1,1,1,クーパン1,32927,2356,0.072,1486,2356,◎維持
B075Q58Q6T,BANDAI HGUC 1/144 ゼータガンダム(ウェイブシューター) プラモ,1,1,1,クーパン1,10337,2337,0.226,1267,2337,③スポット
B00COX5FFQ,プロクソン(PROXXON) ミニサーキュラソウテーブルEX NEXモデル小型卓,1,1,1,クーパン1,16255,2327,0.143,1057,2327,◎維持
B089LLCZ5S,FIFINE USBマイク コンデンサーマイク 単一指向性 3.5mmイヤホン端,1,1,1,クーパン1,5465,2315,0.424,1445,2315,③スポット
B00C2M5ZCW,富士フイルム(FUJIFILM) リバーサルフィルム フジクローム PROVIA,2,2,2,クーパン1,43206,2315,0.054,575,1158,◎維持
B08HDJ3144,VICTORINOX(ビクトリノックス) オニキスブラックコレクション スイス・,1,1,1,クーパン2,18956,2308,0.122,1438,2308,◎維持
B018K0YIRM,ハイキュー!! Cross team match! - 3DS,1,1,1,クーパン2,5903,2305,0.39,1435,2305,③スポット
B095RYYL2X,AbuGarcia (アブガルシア) ZENON 2500MSH ゼノン スピニ,1,1,1,クーパン1,34716,2304,0.066,1434,2304,◎維持
B08GR2K8WH,エレコム マウス ワイヤレス トラックボール (親指) 左手専用 赤玉 6ボタン,2,2,2,クーパン1,11221,2292,0.204,552,1146,③スポット
B095Z253G3,Medela(メデラ) 搾乳機 電動 ソロ 搾乳機 (電動・シングルポンプ) 母,1,1,1,クーパン1,15735,2290,0.146,1320,2290,◎維持
B07P5KLDBK,冴えない彼女の育てかた♭ 加藤恵 1/7スケール ABS&PVC製 塗装済み完成,1,1,1,クーパン1,22646,2246,0.099,1276,2246,◎維持
B017ASN9C0,仮面ライダー バトライド・ウォー 創生 メモリアルTVサウンドエディション - ,2,2,1,クーパン1,30526,2246,0.074,506,1123,◎維持
B0BQQTNSRD,パール金属(PEARL METAL) VISIONS ビジョン メジャーカップ ,1,1,1,クーパン2,4806,2231,0.464,1211,2231,③スポット
B00HWRHBUQ,OM SYSTEM/オリンパス OLYMPUS ミラーレス一眼 9mm f8 フ,2,2,2,クーパン1/クーパン2,21684,2215,0.102,475,1108,◎維持
B08VDCZSHS,"
ダイワ(DAIWA) 21 フリーギア MX 360TKHH",1,1,1,クーパン1,34160,2205,0.065,1335,2205,◎維持
B001PTHGPM,Figma 涼宮ハルヒの憂鬱 涼宮ハルヒ チアガールver.,1,1,1,クーパン1,7642,2162,0.283,1292,2162,③スポット
B000UPFXZ2,KORG(コルグ) ボリューム/エクスプレッションペダル EXP-2,1,1,1,クーパン1,9235,2157,0.234,1087,2157,③スポット
B0CZPTHCB3,フィリップス ハンディガン ボディシェイプガン コードレス 7段階振動 強力振動,1,1,1,クーパン2,9780,2150,0.22,1180,2150,③スポット
B0BM6GNSS5,パガ－ニデザイン メンズ腕時計 日本製SEIKO NH35 ムーブメント エクス,1,1,1,クーパン1,27935,2135,0.076,1265,2135,◎維持
B00B1LCS1G,Coleman(コールマン) クッカー パックアウェイ ソロクッカーセット 1人,1,1,1,クーパン1,6611,2130,0.322,1260,2130,③スポット
B085216N2Z,【指定医薬部外品】新ビオフェルミンSプラス錠 550錠 61日分 大正製薬 整腸,3,3,1,クーパン2,13932,2089,0.15,-521,696,①伸ばす
B08GM64R84,SwitchBot スイッチボット リモートボタン ワンタッチ SwitchBo,2,2,2,クーパン1/クーパン2,7029,2067,0.294,327,1034,③スポット
B0D6MV32DD,[TIMEX(タイメックス)] タイメックス 腕時計 メンズ マーリンジェット ,2,2,2,クーパン2,53339,2066,0.039,326,1033,◎維持
B01M8PWN79,仮面ライダーエグゼイド 双刃烈破 DXガシャコンスパロー,1,1,1,クーパン1,8237,2057,0.25,1187,2057,③スポット
B07VSPNPN8,ミューノアージュ Wアプローチヘアプログラム [医薬部外品 薬用育毛剤60mL ,1,1,1,クーパン2,8952,2039,0.228,1169,2039,③スポット
B08WQ55K53,[TIMEX(タイメックス)タイメックス 腕時計 ユニセックスTW2U69000,1,1,1,クーパン1,27222,2022,0.074,1152,2022,◎維持
B07MV534K4,"
シマノ(SHIMANO) ベイトリール 両軸 19 SLX MGL 70XG ",1,1,1,クーパン1,15718,2018,0.128,1148,2018,◎維持
B015X4WZNW,シャンティ -海賊の呪い- - 3DS,1,1,1,クーパン1,6426,2018,0.314,1148,2018,③スポット
B09NYQSWBG,MARVIS(マービス) MARVIS マービス ホワイト・ミント 歯磨き粉 爽,1,1,1,クーパン2,6311,2010,0.318,1090,2010,③スポット
B09JCCS8ML,赤道儀 用 デジタル コンパス POLE FINDER NS-10 mkII 北,1,1,1,クーパン1,29271,1991,0.068,1121,1991,◎維持
B0DDPDFSJG,ダイワ(DAIWA) 磯竿 トーナメント磯 4-53遠投･K,1,1,1,クーパン1,63589,1979,0.031,1109,1979,④撤退
B0B28R3V5T,TSAR BOMBA 腕時計 メンズ ビジネス 50M防水 スケルト メンズウオ,1,1,1,クーパン1,33971,1972,0.058,1102,1972,◎維持
B002P9C09I,KYORITSU AC/DCクランプ付デジタルマルチメータ MODEL2001,1,1,1,クーパン2,13181,1971,0.15,1051,1971,◎維持
B0B45VTJ1L,【Amazon.co.jp限定】 東レ トレビーノ 浄水ポット (高速ろ過) コ,1,1,1,クーパン2,5871,1971,0.336,1001,1971,③スポット
B0CQ7ZS96D,［ タヴァティー公式 ］ホワイトニング 歯磨き粉【 歯を白くする 歯磨きジェル ,1,1,1,クーパン2,9619,1959,0.204,1089,1959,③スポット
B07FVL6VM2,ジョビー(JOBY) カメラ三脚 ミニ三脚 ゴリラポッド マグネティック325 ,1,1,1,クーパン1,3497,1952,0.558,1082,1952,③スポット
B0D2T49YQZ,バタフライ(Butterfly) 卓球ラケット シェイク ミニオンALC FL ,1,1,1,クーパン1,28915,1935,0.067,1065,1935,◎維持
B004ZHYEGU,スーパー戦隊シリーズ 海賊戦隊ゴーカイジャー VOL.3 [Blu-ray],2,2,2,クーパン2,9579,1933,0.202,193,966,③スポット
B08HYX593S,F-ZXLP90 集塵フィルター と F-ZXLD90 脱臭フィルター 加湿空気,1,1,1,クーパン2,7129,1929,0.271,959,1929,③スポット
B0CGWSQHKS,三菱ケミカル・クリンスイ クリンスイ 浄水器 ポット型 カートリッジ計3個入り ,1,1,1,クーパン2,10128,1928,0.19,1058,1928,◎維持
B0DCK8Y6MW,ダイワ(DAIWA) ベイトリール 23SALTIST TW 150XH PE ,1,1,1,クーパン1,32267,1887,0.058,1017,1887,◎維持
B07ND42J1V,共立電気計器 低圧用検電器 5711,2,2,2,クーパン2,9095,1871,0.206,81,936,③スポット
B0DBKMTSCM,TAMASHII NATIONS S.H.モンスターアーツ モンスターハンターシ,1,1,1,クーパン2,11358,1868,0.164,998,1868,◎維持
B09NM8QG94,RLSOCO ジレット 髭剃りケース 収納ケース ジレット Gillette L,2,2,2,クーパン2,7825,1867,0.239,77,934,③スポット
B07QP89ZS7,[オリエントスター]ORIENT STAR 自動巻き腕時計 セミスケルトン 機械,1,1,1,クーパン1,66105,1865,0.028,945,1865,④撤退
B08JHW5WGT,バンダイスピリッツ HG 1/144 ガンダム プルトーネ,2,2,2,クーパン1,14921,1863,0.125,73,932,◎維持
